,name,rank,year,company.founded,company.name,company.relationship,company.sector,company.type,demographics.age,demographics.gender,location.citizenship,location.country code,location.gdp,location.region,wealth.type,wealth.worth in billions,wealth.how.category,wealth.how.from emerging,wealth.how.industry,wealth.how.inherited,wealth.how.was founder,wealth.how.was political
356,Richard Schulze,198,2001,1966,Best Buy,founder,retail,new,60,male,United States,USA,10600000000000.0,North America,founder non-finance,2.3,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
357,Susan Thompson Buffett,198,2001,1962,Berkshire Hathaway,relation,finance,new,68,female,United States,USA,10600000000000.0,North America,inherited,2.3,Traded Sectors,True,Consumer,spouse/widow,True,True
358,Terry Gou,198,2001,1974,Foxconn,founder,software,new,0,male,Taiwan,Taiwan,0.0,East Asia,founder non-finance,2.3,New Sectors,True,Technology-Computer,not inherited,True,True
359,Emilio Botin,199,1996,1857,Grupo Santander,relation,finance,new,61,male,Spain,ESP,641000000000.0,Europe,inherited,2.0,Financial,True,Money Management,father,True,True
360,Dustin Moskovitz,202,2014,2004,Facebook,founder,communication,new,29,male,United States,USA,0.0,North America,founder non-finance,6.8,New Sectors,True,Technology-Computer,not inherited,True,True
361,Jan Koum,202,2014,2009,WhatsApp,founder,communication,new,38,male,United States,USA,0.0,North America,founder non-finance,6.8,New Sectors,True,Technology-Computer,not inherited,True,True
362,Donald Bren,205,1996,1864,Irvine Company,owner,real estate,aquired,63,male,United States,USA,8100000000000.0,North America,self-made finance,2.0,Financial,True,Real Estate,not inherited,True,True
363,James Goodnight,207,1996,1976,SAS institute,founder,software,new,53,male,United States,USA,8100000000000.0,North America,founder non-finance,2.0,New Sectors,True,Technology-Computer,not inherited,True,True
364,Takemitsu Takizaki,207,2014,1974,Keyence,founder,software,new,68,male,Japan,JPN,0.0,East Asia,founder non-finance,6.6,New Sectors,True,Technology-Computer,not inherited,True,True
365,Ray Hunt,208,1996,1934,Hunt Oil. Co,relation,raw materials,new,53,male,United States,USA,8100000000000.0,North America,inherited,2.0,Resource Related,True,Energy,father,True,True
366,James Packer,208,2014,1936,Consolidated Press Holdings Limited,relation,communication,aquired,46,male,Australia,AUS,0.0,North America,inherited,6.5,Financial,True,Real Estate,3rd generation,True,True
367,Leonid Fedun,208,2014,1990,Lukoil,Vice President,raw materials,new,57,male,Russia,RUS,0.0,Europe,privatized and resources,6.5,Resource Related,True,Energy,not inherited,True,True
368,Oleg Deripaska,208,2014,1994,SibAl,founder,raw materials,new,46,male,Russia,RUS,0.0,Europe,privatized and resources,6.5,Resource Related,True,Mining and metals,not inherited,True,True
369,Laurence Tisch,209,1996,1946,Loews Corporation,founder,retail,new,0,male,United States,USA,8100000000000.0,North America,founder non-finance,2.0,Traded Sectors,True,Consumer,not inherited,True,True
370,Barbara Piasecka Johnson,209,2001,1886,Johnson & Johnson,relation,medicals,new,64,female,United States,USA,10600000000000.0,North America,inherited,2.2,New Sectors,True,Technology-Medical,spouse/widow,True,True
371,Bernard Sherman,209,2001,1959,Empire Laboratories,relation,medicals,new,59,male,Canada,CAN,733000000000.0,North America,inherited,2.2,New Sectors,True,Technology-Medical,father,True,True
372,David Duffield,209,2001,1987,PeopleSoft,founder,software,new,60,male,United States,USA,10600000000000.0,North America,founder non-finance,2.2,New Sectors,True,Technology-Computer,not inherited,True,True
373,Frank Lowy,209,2001,1960,Westfield Group,founder,real estate,new,70,male,Australia,AUS,379000000000.0,North America,self-made finance,2.2,Financial,True,Real Estate,not inherited,True,True
374,Jean-Claude Decaux,209,2001,1964,JCDecaux,founder,communication,new,63,male,France,FRA,1380000000000.0,Europe,founder non-finance,2.2,Non-Traded Sectors,True,Media,not inherited,True,True
375,Maersk McKinney Moller,209,2001,1905,Maersk Group,relation,service,new,87,male,Denmark,DNK,165000000000.0,Europe,inherited,2.2,Financial,True,Diversified financial,father,True,True
376,Nancy Walton Laurie,209,2001,1962,Walmart,relation,retail, new,49,female,United States,USA,10600000000000.0,North America,inherited,2.2,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
377,Shiv Nadar,209,2001,1976,HCL,founder,software,new,55,male,India,IND,494000000000.0,South Asia,founder non-finance,2.2,New Sectors,True,Technology-Computer,not inherited,True,True
378,Thomas Siebel,209,2001,1993,Siebel Systems,founder,software,new,48,male,United States,USA,10600000000000.0,North America,founder non-finance,2.2,New Sectors,True,Technology-Computer,not inherited,True,True
379,Preston Tisch,210,1996,1946,Loews Corporation,founder,retail,new,69,male,United States,USA,8100000000000.0,North America,founder non-finance,2.0,Traded Sectors,True,Consumer,not inherited,True,True
380,Shoji Uehara,211,1996,1912,Taisho Pharmaceutical,relation,medicals,new,0,male,Japan,JPN,4710000000000.0,East Asia,inherited,1.9,New Sectors,True,Technology-Medical,father,True,True
381,Pansy Ho,212,2014,1962,Sociedade de Turismo e Divers?es de Macau,relation,entertainment,new,51,female,Hong Kong,HKG,0.0,East Asia,inherited,6.4,Financial,True,Real Estate,father,True,True
382,Quek Leng Chan,212,2014,1963,Hong Leong Financial Group,founder,finance,new,70,male,Malaysia,MYS,0.0,East Asia,self-made finance,6.4,Financial,True,Money Management,not inherited,True,True
383,Sid Bass,213,1996,1919,Sid Richardson Gasoline Co,relation,raw materials,new,53,male,United States,USA,8100000000000.0,North America,inherited,1.9,Resource Related,True,Energy,father,True,True
384,David Geffen,215,1996,1970,Asylum Records/Geffen Records/Dreamworks,founder,entertainment,new,53,male,United States,USA,8100000000000.0,North America,founder non-finance,1.9,Non-Traded Sectors,True,Media,not inherited,True,True
385,Dannine Avara,215,2014,1968,Enterprise Products,relation,raw materials,new,50,female,United States,USA,0.0,North America,inherited,6.3,Traded Sectors,True,Non-consumer industrial,father,True,True
386,Ivan Glasenberg,215,2014,1974,Glencore Xstrata,CEO,raw materials,new,57,male,Australia,AUS,0.0,North America,privatized and resources,6.3,Resource Related,True,Mining and metals,not inherited,True,True
387,Milane Frantz,215,2014,1968,Enterprise Products,relation,raw materials,new,44,female,United States,USA,0.0,North America,inherited,6.3,Traded Sectors,True,Non-consumer industrial,father,True,True
388,Paolo & Gianfelice Mario Rocca,215,2014,1945,Techint,relation,raw materials,new,0,male,Italy,ITA,0.0,Europe,inherited,6.3,Traded Sectors,True,Non-consumer industrial,3rd generation,True,True
389,Patrick Drahi,215,2014,1994,Altice,founder,communication,new,50,male,France,FRA,0.0,Europe,founder non-finance,6.3,Non-Traded Sectors,True,Media,not inherited,True,True
390,Randa Williams,215,2014,1968,Enterprise Products,relation,raw materials,new,52,female,United States,USA,0.0,North America,inherited,6.3,Traded Sectors,True,Non-consumer industrial,father,True,True
391,Scott Duncan,215,2014,1968,Enterprise Products,relation,raw materials,new,31,male,United States,USA,0.0,North America,inherited,6.3,Traded Sectors,True,Non-consumer industrial,father,True,True
392,Kerry Packer,218,1996,1936,Consolidated Press Holdings Limited,relation,communication,aquired,58,male,Australia,AUS,401000000000.0,North America,inherited,1.8,Non-Traded Sectors,True,Media,3rd generation,True,True
393,Hasso Plattner,219,1996,1972,SAP AG,founder,software,new,52,male,Germany,DEU,2500000000000.0,Europe,founder non-finance,1.8,New Sectors,True,Technology-Computer,not inherited,True,True
394,Lee Hon Chiu,221,1996,1920,Hysan Development,relation,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,1.8,Financial,True,Real Estate,father,True,True
395,Abdullah Al Rajhi,222,2001,1957,Al Rajhi bank,founder,finance,new,0,male,Saudi Arabia,SAU,183000000000.0,Middle East/North Africa,self-made finance,2.1,Financial,True,Money Management,not inherited,True,True
396,Adolf Merckle,222,2001,1881,Ratiopharm,relation,medicals,new,66,male,Germany,DEU,1950000000000.0,Europe,inherited,2.1,New Sectors,True,Technology-Medical,4th generation,True,True
397,Charles Johnson,222,2001,1947,Franklin Resources,relation,finance,new,68,male,United States,USA,10600000000000.0,North America,inherited,2.1,Financial,True,Money Management,father,True,True
398,Sammy Ofer,222,2001,1950,Zodiac Maritime Agencies,relation,service,new,0,male,Israel,ISR,130000000000.0,Middle East/North Africa,inherited,2.1,Traded Sectors,True,Consumer,father,True,True
399,Steven Spielberg,222,2001,1994,DreamWorks,founder,entertainment,new,54,male,United States,USA,10600000000000.0,North America,founder non-finance,2.1,Non-Traded Sectors,True,Media,not inherited,True,True
400,Edmond Safra,223,1996,1955,Banco Safra (now Saftra Group),founder,finance,new,0,male,Lebanon,LBN,13690217121.0,Middle East/North Africa,self-made finance,1.8,Financial,True,Money Management,not inherited,True,True
401,Teh Hong Piow,224,1996,1966,Public Bank,founder,finance,new,56,male,Malaysia,MYS,101000000000.0,East Asia,self-made finance,1.8,Financial,True,Money Management,not inherited,True,True
402,"Rupert Johnson, Jr.",224,2014,1947,Franklin Resources,relation,finance,new,72,male,United States,USA,0.0,North America,inherited,6.2,Financial,True,Money Management,father,True,True
403,S. Truett Cathy,224,2014,1946,Chick-fil-A,founder,service,new,92,male,United States,USA,0.0,North America,founder non-finance,6.2,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
404,Sumner Redstone,224,2014,1936,National Amusements,relation,communication,new,90,male,United States,USA,0.0,North America,inherited,6.2,Non-Traded Sectors,True,Media,father,True,True
405,Alberto Bailleres Gonzalez,225,1996,1960,Penoles,relation,raw materials,privatization,63,male,Mexico,MEX,397000000000.0,Latin America,inherited,1.8,Resource Related,True,Mining and metals,father,True,True
406,Moores family,227,1996,1932,Littlewoods,,retail,new,0,,United Kingdom,GBR,1310000000000.0,Europe,inherited,1.8,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True
407,David Geffen,227,2014,1970,Asylum Records/Geffen Records/Dreamworks,founder,entertainment,new,71,male,United States,USA,0.0,North America,founder non-finance,6.1,Non-Traded Sectors,True,Media,not inherited,True,True
408,Iskander Makhmudov,227,2014,1999,Ural Mining and Metallurgical Company,founder,raw materials,new,50,male,Russia,RUS,0.0,Europe,privatized and resources,6.1,Resource Related,True,Mining and metals,not inherited,True,True
409,Pyotr Aven,227,2014,1989,Alfa Group,chairman of the board,finance,new,58,male,Russia,RUS,0.0,Europe,privatized and resources,6.1,Resource Related,True,Energy,not inherited,True,True
410,Richard LeFrak,227,2014,1883,LeFrack ,relation,real estate,new,68,male,United States,USA,0.0,North America,inherited,6.1,Financial,True,Real Estate,4th generation,True,True
411,"Thomas Frist, Jr.",227,2014,1968,Hostpital Corporation of America,founder/relation,medicals,new,75,male,United States,USA,0.0,North America,founder non-finance,6.1,New Sectors,True,Technology-Medical,not inherited,True,True
412,Stanley Hubbard,229,1996,1925,Hubbard Broadcasting Inc,owner,communication,new,62,male,United States,USA,8100000000000.0,North America,executive,1.8,Non-Traded Sectors,True,Media,not inherited,True,True
413,Eliodoro Matte,230,1996,1920,CMPC,relation,raw materials,new,50,male,Chile,CHL,75800000000.0,Latin America,inherited,1.7,Traded Sectors,True,Consumer,father,True,True
414,Goulandris family,231,1996,0,Fitzwilton,,service,,0,,Greece,GRC,147000000000.0,Europe,inherited,1.7,Financial,True,Money Management,not inherited,True,True
415,Masakuni Osano,233,1996,1960,Kyo-Ya Company,president,real estate,new,0,male,Japan,JPN,4710000000000.0,East Asia,self-made finance,1.7,Financial,True,Real Estate,not inherited,True,True
416,Edward Gaylord,234,2001,1975,Gaylord Entertainment Company,founder,communication,new,0,male,United States,USA,10600000000000.0,North America,founder non-finance,2.0,Non-Traded Sectors,True,Media,not inherited,True,True
417,Fayez Sarofim,234,2001,1958,Fayez Sarofim & Co,relation,finance,new,72,male,United States,USA,10600000000000.0,North America,self-made finance,2.0,Financial,True,Money Management,not inherited,True,True
418,Georg Thyssen-Bornemisza,234,2001,1926,TBG (Thyssen-Bornemisza Group) Holdings,relation,raw materials,new,0,male,Switzerland,CHE,279000000000.0,Europe,inherited,2.0,Traded Sectors,True,Non-consumer industrial,3rd generation,True,True
419,Hubert Burda,234,2001,1898,Hubert Burda Media,relation,communication,new,61,male,Germany,DEU,1950000000000.0,Europe,inherited,2.0,Non-Traded Sectors,True,Media,father,True,True
420,Jeffrey Bezos,234,2001,1994,Amazon,founder,software, new,37,male,United States,USA,10600000000000.0,North America,founder non-finance,2.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
421,John Morgridge,234,2001,1984,Cisco Systems,ceo,software,new,67,male,United States,USA,10600000000000.0,North America,executive,2.0,New Sectors,True,Technology-Computer,not inherited,True,True
422,Patrick McGovern,234,2001,1964,International Data Goup,founder,software,new,63,male,United States,USA,10600000000000.0,North America,founder non-finance,2.0,New Sectors,True,Technology-Computer,not inherited,True,True
423,Peter Kellogg,234,2001,1931,"Spear, Leeds & Kellogg",relation,finance,new,58,male,United States,USA,10600000000000.0,North America,inherited,2.0,Financial,True,Money Management,father,True,True
424,Richard Egan,234,2001,1979,EMC Corporation,founder,software,new,65,male,United States,USA,10600000000000.0,North America,founder non-finance,2.0,New Sectors,True,Technology-Computer,not inherited,True,True
425,Richard Li,234,2001,1971,Cheung king,relation,real estate,new,34,male,Hong Kong,HKG,169000000000.0,East Asia,inherited,2.0,Non-Traded Sectors,True,Media,father,True,True
426,Theodore Waitt,234,2001,1985,Gateway,founder,software,new,38,male,United States,USA,10600000000000.0,North America,founder non-finance,2.0,New Sectors,True,Technology-Computer,not inherited,True,True
427,Chan Laiwa,234,2014,1988,Fuwah International Group,founder,real estate,new,73,female,China,CHN,0.0,East Asia,self-made finance,6.0,Financial,True,Real Estate,not inherited,True,True
428,Denis O'Brien,234,2014,1997,Estat Digiphone (O2),founder,communication,new,55,male,Ireland,IRL,0.0,Europe,privatized and resources,6.0,Non-Traded Sectors,True,Media,not inherited,True,True
429,Filaret Galchev,234,2014,1999,Rosuglesbyt,founder,raw materials,new,50,male,Russia,RUS,0.0,Europe,founder non-finance,6.0,Non-Traded Sectors,True,Constrution,not inherited,True,True
430,Ira Rennert,234,2014,1975,Renco,founder,finance,new,79,male,United States,USA,0.0,North America,self-made finance,6.0,Financial,True,Diversified financial,not inherited,True,True
431,James Irving,234,2014,1882,J.D. Irving,relation,raw materials,new,85,male,Canada,CAN,0.0,North America,inherited,6.0,Financial,True,Diversified financial,3rd generation,True,True
432,Boonchai Bencharongkul,236,1996,1989,Total Access Communications,chairman,communication,new,0,male,Thailand,THA,182000000000.0,East Asia,executive,1.7,Non-Traded Sectors,True,Media,not inherited,True,True
433,Gordon Getty,237,1996,1904,Getty ,relation,raw materials,new,45,male,United States,USA,8100000000000.0,North America,inherited,1.7,Resource Related,True,Energy,father,True,True
434,Theodore Waitt,238,1996,1985,Gateway,founder,software,new,33,male,United States,USA,8100000000000.0,North America,founder non-finance,1.7,New Sectors,True,Technology-Computer,not inherited,True,True
435,Harry Brakemann Helmsley,239,1996,1938,Helmsley hotels,founder,real estate,aquired,0,male,United States,USA,8100000000000.0,North America,self-made finance,1.7,Financial,True,Real Estate,not inherited,True,True
436,Joan Kroc,240,1996,1940,McDonald's,relation,service,new,0,female,United States,USA,8100000000000.0,North America,inherited,1.7,Non-Traded Sectors,True,"Retail, Restaurant",spouse/widow,True,True
437,Gayle Cook,240,2014,1963,Cook Group,founder,medicals,new,80,female,United States,USA,0.0,North America,founder non-finance,5.8,New Sectors,True,Technology-Medical,not inherited,True,True
438,Leon Black,240,2014,1990,Apollo Global management,founder,finance,new,62,male,United States,USA,0.0,North America,self-made finance,5.8,Financial,True,Private equity/leveraged buyout,not inherited,True,True
439,Luis Carlos Sarmiento Angulo,242,1996,1971,"Grupo Aval Acciones y Valores, SA",founder,finance,aquired,63,male,Colombia,COL,97200000000.0,Latin America,self-made finance,1.6,Financial,True,Money Management,not inherited,True,True
440,Paul-Louis Halley,243,1996,1961,Promodes,relation,retail,new,0,male,France,FRA,1610000000000.0,Europe,executive,1.6,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
441,Rochling family,244,1996,1822,Rochling Group,,raw materials,new,0,,Germany,DEU,2500000000000.0,Europe,inherited,1.6,Traded Sectors,True,Non-consumer industrial,3rd generation,True,True
442,Hui Ka Yan,244,2014,1997,Evergrande Group,chairman,real estate,new,55,male,China,CHN,0.0,East Asia,self-made finance,5.7,Financial,True,Real Estate,not inherited,True,True
443,Hui Wing Mau,244,2014,1988,Shimao Property,founder,real estate,new,63,male,Hong Kong,HKG,0.0,East Asia,self-made finance,5.7,Financial,True,Real Estate,not inherited,True,True
444,Idan Ofer,244,2014,1950,Zodiac Maritime Agencies,relation,service,new,58,male,Israel,ISR,0.0,Middle East/North Africa,inherited,5.7,Resource Related,True,Energy,father,True,True
445,Patrick McGovern,244,2014,1964,International Data Goup,founder,software,new,76,male,United States,USA,0.0,North America,founder non-finance,5.7,Non-Traded Sectors,True,Media,not inherited,True,True
446,Sunil Mittal,244,2014,1980,Bharti Enterprises,founder,communication,new,56,male,India,IND,0.0,South Asia,founder non-finance,5.7,Non-Traded Sectors,True,Media,not inherited,True,True
447,Klaus Tschira,245,1996,1972,SAP AG,founder,software,new,55,male,Germany,DEU,2500000000000.0,Europe,founder non-finance,1.6,New Sectors,True,Technology-Computer,not inherited,True,True
448,Lo Ying Shek,246,1996,1963,Great Eagle Holdings,founder,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,self-made finance,1.6,Financial,True,Real Estate,not inherited,True,True
449,Gerald Cavendish Grosvenor,251,1996,1677,Grosvenor Group,relation,real estate,new,44,male,United Kingdom,GBR,1310000000000.0,Europe,inherited,1.6,Financial,True,Real Estate,5th generation or longer,True,True
450,Akihiko Otsuka,251,2001,1921,Otsuka Holdings,relation,medicals,new,0,male,Japan,JPN,4160000000000.0,East Asia,inherited,1.9,New Sectors,True,Technology-Medical,father,True,True
451,Alberto Bailleres Gonzalez,251,2001,1960,Penoles,relation,raw materials,privatization,68,male,Mexico,MEX,725000000000.0,Latin America,inherited,1.9,Resource Related,True,Mining and metals,father,True,True
452,Arthur Blank,251,2001,1979,Home Depot,founder,retail,new,58,male,United States,USA,10600000000000.0,North America,founder non-finance,1.9,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
453,John Hargreaves,251,2001,1985,Matalan,founder,retail,new,57,male,United Kingdom,GBR,1530000000000.0,Europe,founder non-finance,1.9,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
454,John Jahr,251,2001,0,,,communication,,0,male,Germany,DEU,1950000000000.0,Europe,inherited,1.9,Non-Traded Sectors,True,Media,not inherited,True,True
455,Khalid Bin Mahfouz,251,2001,1953,National Comercial bank of Saudi Arabia,relation,finance,new,54,male,Saudi Arabia,SAU,183000000000.0,Middle East/North Africa,inherited,1.9,Financial,True,Money Management,father,True,True
456,Leona Helmsley,251,2001,1938,Helmsley hotels,investor ,real estate,aquired,81,female,United States,USA,10600000000000.0,North America,self-made finance,1.9,Financial,True,Real Estate,not inherited,True,True
457,Lowry Mays,251,2001,1972,Clear Channel Communications,founder,communication,new,0,male,United States,USA,10600000000000.0,North America,founder non-finance,1.9,Non-Traded Sectors,True,Media,not inherited,True,True
458,Masao Morita,251,2001,1947,Sony,relation,software,new,0,male,Japan,JPN,4160000000000.0,East Asia,inherited,1.9,Non-Traded Sectors,True,Media,father,True,True
459,Michael Krasny,251,2001,1984,CDW Corporation,founder,retail,new,47,male,United States,USA,10600000000000.0,North America,founder non-finance,1.9,New Sectors,True,Technology-Computer,not inherited,True,True
460,Richard Rainwater,251,2001,1986,ENSCO International,founder,finance,new,56,male,United States,USA,10600000000000.0,North America,self-made finance,1.9,Financial,True,Real Estate,not inherited,True,True
461,Sam Zell,251,2001,1968,Equity Group Investments,founder,real estate,new,59,male,United States,USA,10600000000000.0,North America,self-made finance,1.9,Financial,True,Real Estate,not inherited,True,True
462,Stefan Schoerghuber,251,2001,1954,Schorghuber Group,relation,real estate,new,0,male,Germany,DEU,1950000000000.0,Europe,inherited,1.9,Financial,True,Real Estate,father,True,True
463,Terence Matthews,251,2001,1972,Mitel,founder,software,new,0,male,Canada,CAN,733000000000.0,North America,founder non-finance,1.9,New Sectors,True,Technology-Computer,not inherited,True,True
464,Peter Nicholas,253,1996,1979,Boston Scientific,founder,medicals,new,55,male,United States,USA,8100000000000.0,North America,founder non-finance,1.6,New Sectors,True,Technology-Medical,not inherited,True,True
465,Ray Lee Hunt,253,2014,1934,Hunt Oil. Co,relation,raw materials,new,71,male,United States,USA,0.0,North America,inherited,5.6,Resource Related,True,Energy,father,True,True
466,Teh Hong Piow,253,2014,1966,Public Bank,founder,finance,new,83,male,Malaysia,MYS,0.0,East Asia,self-made finance,5.6,Financial,True,Money Management,not inherited,True,True
467,Arthur Irving,256,2014,1924,Irving Oil,relation,raw materials,new,84,male,Canada,CAN,0.0,North America,inherited,5.5,Resource Related,True,Energy,father,True,True
468,Bruno Schroder,256,2014,1800,Schroders,relation,finance,new,81,male,United Kingdom,GBR,0.0,Europe,inherited,5.5,Financial,True,Money Management,4th generation,True,True
469,Carlos and Alejandro Bulgheroni,256,2014,1948,Bridas Energy,relation,raw materials,new,0,male,Argentina,ARG,0.0,Latin America,inherited,5.5,Resource Related,True,Energy,father,True,True
470,Jeffery Hildebrand,256,2014,1989,Hilcorp Energy Company,founder,raw materials,new,54,male,United States,USA,0.0,North America,privatized and resources,5.5,Resource Related,True,Energy,not inherited,True,True
471,John Jahr,259,1996,0,,,communication,,0,male,Germany,DEU,2500000000000.0,Europe,inherited,1.5,Non-Traded Sectors,True,Media,not inherited,True,True
472,Lakshmi Mittal,261,1996,1989,ArcelorMittal,founder,raw materials,new,45,male,India,IND,400000000000.0,South Asia,inherited,1.5,Resource Related,True,Energy,father,True,True
473,Kenshin Oshima,262,1996,1978,SFCG,president,finance,new,48,male,Japan,JPN,4710000000000.0,East Asia,self-made finance,1.5,Financial,True,Money Management,not inherited,True,True
474,Melker Schorling,263,2014,1987,Melker Schorling AB (MSAB),founder,finance,new,66,male,Sweden,SWE,0.0,Europe,self-made finance,5.4,Financial,True,Diversified financial,not inherited,True,True
475,Sergei Popov,263,2014,1996,MDM Bank,founder/vice chairman,finance,new,42,male,Russia,RUS,0.0,Europe,self-made finance,5.4,Financial,True,Money Management,not inherited,True,True
476,Stephen Ross,263,2014,1972,The Related Companies,founder,real estate,new,73,male,United States,USA,0.0,North America,self-made finance,5.4,Financial,True,Real Estate,not inherited,True,True
477,Terry Gou,263,2014,1974,Foxconn,founder,software,new,63,male,Taiwan,Taiwan,0.0,East Asia,founder non-finance,5.4,New Sectors,True,Technology-Computer,not inherited,True,True
478,Ananda Krishnan,265,1996,1984,Usaha Tegas Sdn Bhd,founder,real estate,new,57,male,Malaysia,MYS,101000000000.0,East Asia,founder non-finance,1.5,Non-Traded Sectors,True,Media,not inherited,True,True
479,Bernardo Garza Sada,266,1996,1890,Grupo ALFA,relation,raw materials,new,0,male,Mexico,MEX,397000000000.0,Latin America,inherited,1.5,Financial,True,Diversified financial,3rd generation,True,True
480,Martin Ebner,269,1996,1985,BZ Bank,founder,finance,new,0,male,Switzerland,CHE,330000000000.0,Europe,self-made finance,1.5,Financial,True,Money Management,not inherited,True,True
481,Karl-Heinz Kipp,270,2014,1965,Massa,founder,retail,new,90,male,Germany,DEU,0.0,Europe,founder non-finance,5.2,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
482,Ken Griffin,270,2014,1990,Citadel LLC,founder,finance,new,45,male,United States,USA,0.0,North America,self-made finance,5.2,Financial,True,Hedge funds,not inherited,True,True
483,Kwee brothers,270,2014,1961,Pontiac Land,relation,real estate,new,69,male,Singapore,SGP,0.0,East Asia,inherited,5.2,Financial,True,Real Estate,father,True,True
484,Wee Cho Yaw,270,2014,1935,United Overseas Bank,relation,finance,new,85,male,Singapore,SGP,0.0,East Asia,inherited,5.2,Financial,True,Money Management,father,True,True
485,Prachai Leophairatana,272,1996,1978,Thai Petrochemical Industry,founder,raw materials,new,0,male,Thailand,THA,182000000000.0,East Asia,inherited,1.5,Traded Sectors,True,Non-consumer industrial,3rd generation,True,True
486,Carl Pohlad,272,2001,1920,Marquette Bank,owner,finance,aquired,85,male,United States,USA,10600000000000.0,North America,self-made finance,1.8,Financial,True,Money Management,not inherited,True,True
487,Charles Butt,272,2001,1905,H-E-B supermarket,relation,service,new,62,male,United States,USA,10600000000000.0,North America,inherited,1.8,Non-Traded Sectors,True,"Retail, Restaurant",3rd generation,True,True
488,Herbert Allen,272,2001,1922,Allen & Company,relation,finance,new,61,male,United States,USA,10600000000000.0,North America,inherited,1.8,Financial,True,Money Management,father,True,True
489,Irwin Jacobs,272,2001,1985,Qualcomm,founder,software,new,67,male,United States,USA,10600000000000.0,North America,founder non-finance,1.8,New Sectors,True,Technology-Computer,not inherited,True,True
490,Jeronimo Arango,272,2001,1958,Aurrera,founder,service,new,75,male,Mexico,MEX,725000000000.0,Latin America,founder non-finance,1.8,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
491,Juan and Carlos March,272,2001,1916,Acciona Trasmediterranea,relation,service,new,0,male,Spain,ESP,626000000000.0,Europe,inherited,1.8,Financial,True,Diversified financial,3rd generation,True,True
492,Julio Bozano,272,2001,1960,Banco Bozano Simonsen,founder,finance,new,65,male,Brazil,BRA,560000000000.0,Latin America,self-made finance,1.8,Financial,True,Money Management,not inherited,True,True
493,Kenichi Mabuchi,272,2001,1946,Mabuchi Motor Company,founder,software,new,48,male,Japan,JPN,4160000000000.0,East Asia,founder non-finance,1.8,Traded Sectors,True,Non-consumer industrial,not inherited,True,True
494,Lakshmi Mittal,272,2001,1989,ArcelorMittal,founder,raw materials,new,50,male,United Kingdom,GBR,1530000000000.0,Europe,inherited,1.8,Resource Related,True,Energy,father,True,True
495,Richard Branson,272,2001,1972,Virgin Group,founder,communication,new,50,male,United Kingdom,GBR,1530000000000.0,Europe,founder non-finance,1.8,Non-Traded Sectors,True,Media,not inherited,True,True
496,Ronald Burkle,272,2001,1986,Yucaipa Companies,founder,finance,new,48,male,United States,USA,10600000000000.0,North America,founder non-finance,1.8,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
497,John Abele,273,1996,1979,Boston Scientific,founder,medicals,new,79,male,United States,USA,8100000000000.0,North America,founder non-finance,1.5,New Sectors,True,Technology-Medical,not inherited,True,True
498,Michel David-Weill,276,1996,1848,Lazard,relation,finance,new,0,male,France,FRA,1610000000000.0,Europe,inherited,1.4,Financial,True,Money Management,father,True,True
499,Takemitsu Takizaki,279,1996,1974,Keyence,founder,software,new,50,male,Japan,JPN,4710000000000.0,East Asia,founder non-finance,1.4,New Sectors,True,Technology-Computer,not inherited,True,True
500,Hiroshi Yamauchi,280,1996,1889,Nintendo,relation,entertainment,new,68,male,Japan,JPN,4710000000000.0,East Asia,inherited,1.4,New Sectors,True,Technology-Computer,3rd generation,True,True
501,Anil Ambani,281,2014,1980,Reliance,relation,raw materials,new,54,male,India,IND,0.0,South Asia,inherited,5.0,Financial,True,Diversified financial,not inherited,True,True
502,Bruce Halle,281,2014,1960,Discount Tire,founder,retail,new,83,male,United States,USA,0.0,North America,founder non-finance,5.0,Traded Sectors,True,Consumer,not inherited,True,True
503,David Green,281,2014,1970,Hobby Lobby,founder,retail,new,72,male,United States,USA,0.0,North America,founder non-finance,5.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True
504,Frederik Paulsen,281,2014,1950,Ferring Pharmaceuticals,relation,medicals,new,63,male,Sweden,SWE,0.0,Europe,inherited,5.0,New Sectors,True,Technology-Medical,father,True,True
505,Gordon Moore,281,2014,1968,Intel ,founder,software,new,85,male,United States,USA,0.0,North America,founder non-finance,5.0,New Sectors,True,Technology-Computer,not inherited,True,True
506,Harry Triguboff,281,2014,1968,Meriton,founder,real estate,new,81,male,Australia,AUS,0.0,North America,self-made finance,5.0,Financial,True,Real Estate,not inherited,True,True
